freq,unit,sex,age,citizen,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,F,Y20-64,NEU27_2020_FOR,NO	16.5 	15.8 	14.5 u	13.4 u	: u	13.6 u	15.9 bu	: u	11.1 u	12.8 u
A,PC,F,Y20-64,NEU27_2020_FOR,PL	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,PT	24.0 	18.2 	14.9 	14.6 	15.9 	16.6 	18.7 bu	18.3 	15.5 	16.6 
A,PC,F,Y20-64,NEU27_2020_FOR,RO	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,RS	: u	: u	: u	: u	: u	: u	: bu	: u	27.7 u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,SE	28.9 	29.2 	30.7 	31.8 b	31.5 	38.6 	40.0 b	31.2 	31.3 	29.1 
A,PC,F,Y20-64,NEU27_2020_FOR,SI	28.8 u	26.8 u	18.3 u	15.2 u	13.6 u	14.4 u	15.6 bu	11.1 u	7.9 u	11.1 u
A,PC,F,Y20-64,NEU27_2020_FOR,SK	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,UK	10.0 	9.3 	9.3 	8.9 	8.0 	: 	: 	: 	: 	: 
A,PC,M,Y20-64,EU27_2020_FOR,AT	8.3 	8.3 	6.2 	5.6 	5.5 	8.4 	8.7 b	7.1 	7.0 	7.5 
A,PC,M,Y20-64,EU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,BE	11.1 	9.9 	9.3 b	8.7 	6.6 	6.8 	6.6 b	6.7 	7.5 	6.8 
A,PC,M,Y20-64,EU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,CH	5.9 	6.5 	5.3 	5.4 	4.7 	5.1 	5.7 b	4.5 	4.4 	5.1 
A,PC,M,Y20-64,EU27_2020_FOR,CY	17.1 	14.2 	9.7 	8.5 	6.3 	8.4 	6.8 b	3.9 u	5.2 u	4.0 u
A,PC,M,Y20-64,EU27_2020_FOR,CZ	3.5 u	2.7 u	: u	: u	: u	1.6 u	1.8 bu	1.9 u	3.3 u	2.7 u
A,PC,M,Y20-64,EU27_2020_FOR,DE	5.9 	5.2 	4.5 	4.2 	3.8 	5.5 b	4.9 b	3.9 	3.4 	4.2 
A,PC,M,Y20-64,EU27_2020_FOR,DK	9.3 u	9.0 bu	8.5 bu	8.8 u	7.2 u	4.8 u	7.3 bu	6.6 u	9.5 b	8.8 
A,PC,M,Y20-64,EU27_2020_FOR,EE	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,EL	21.9 	20.5 	20.8 	21.9 	21.5 	21.5 u	14.2 bu	17.3 u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,ES	23.8 	20.7 	18.2 	15.2 	13.0 	16.6 	14.2 bd	11.0 d	11.8 d	11.1 d
A,PC,M,Y20-64,EU27_2020_FOR,EU27_2020	11.0 	9.5 	8.2 	7.2 	6.8 	8.1 	7.2 b	5.8 	6.0 	6.4 
A,PC,M,Y20-64,EU27_2020_FOR,FI	11.7 u	: u	9.2 u	: u	: u	10.3 u	8.6 bu	7.4 u	10.6 u	12.0 u
A,PC,M,Y20-64,EU27_2020_FOR,FR	12.4 	10.8 	9.1 	8.0 	8.6 	6.4 	7.2 bd	6.9 d	7.2 d	9.0 d
A,PC,M,Y20-64,EU27_2020_FOR,HR	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,HU	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,EU27_2020_FOR,IE	10.2 	7.0 	5.9 b	4.3 	4.3 u	5.7 u	6.8 bu	: u	4.2 u	4.6 u
A,PC,M,Y20-64,EU27_2020_FOR,IS	: u	: u	: u	: u	: u	14.0 b	9.2 b	8.1 	: u	8.0 
A,PC,M,Y20-64,EU27_2020_FOR,IT	14.3 	13.3 	12.2 	11.2 b	11.7 	11.3 	10.3 b	8.1 	8.0 	7.3 
